Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile
Runout S,F+B,$199.99,PBEFFECT,https://a8qh.short.gy/ROS,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,13,5.50,4.10,8.18,110,18%,6.65,70%,234,Very High,2018,55.4,37%,36.2,55%
C45 Dynasty 14,Franklin,$229.99,PBEFFECT,https://a8qh.short.gy/45D14,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.60,4.30,7.90,117,63%,5.94,22%,231,Very High,2068,56.6,84%,36.4,66%
C45 Dynasty 16,Franklin,$229.99,PBEFFECT,https://a8qh.short.gy/45D16,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.60,4.30,7.80,117,63%,5.94,22%,232,Very High,2034,56.4,77%,35.9,39%
C45 Hybrid,Franklin,$229.99,PBEFFECT,https://a8qh.short.gy/C45,2025,USAP/UPA-A,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,14,5.50,4.13,7.55,106,6%,5.60,8%,237,High,1982,54.8,23%,35.3,19%
C45 Parris Todd,Franklin,$229.99,PBEFFECT,https://a8qh.short.gy/pt,2025,USAP/UPA-A,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,,13,,4.13,7.50,104,3%,5.47,5%,234,,,,,,
C45 Tempo 14,Franklin,$229.99,PBEFFECT,https://a8qh.short.gy/45T14,2025,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,14,5.00,4.30,7.80,105,4%,6.34,50%,242,Very High,2016,56.1,65%,36.0,44%
C45 Tempo 16,Franklin,$229.99,PBEFFECT,https://a8qh.short.gy/45T16,2025,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.00,4.30,7.90,105,4%,6.53,61%,243,Very High,2037,55.9,56%,35.8,38%
Dynasty 12 Feather Weight,Franklin,$149.99,PBEFFECT,https://a8qh.short.gy/F12,2024,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,12,5.75,4.30,7.25,109,13%,5.70,10%,242,High,1936,55.7,46%,35.2,18%
FS Tour Dynasty (14mm),Franklin,$150.00,PBEFFECT,https://a8qh.short.gy/D14,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.60,4.30,8.28,124,94%,6.56,64%,242,High,1975,55.6,43%,35.4,22%
FS Tour Dynasty (16mm),Franklin,$150.00,PBEFFECT,https://a8qh.short.gy/D16,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.60,4.30,8.69,134,100%,7.22,93%,246,Medium,1864,56.1,65%,34.4,5%
FS Tour Tempo (14mm),Franklin,$150.00,PBEFFECT,https://a8qh.short.gy/T14,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.00,4.30,8.47,117,63%,7.23,94%,235,Medium,1920,55.9,56%,35.2,18%
FS Tour Tempo (16mm),Franklin,$150.00,PBEFFECT,https://a8qh.short.gy/T16,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.00,4.30,8.90,123,92%,7.68,99%,234,Medium,1925,55.7,46%,33.7,2%
Challenger,Friday,$89.00,PBEFFECT,https://a8qh.short.gy/Friday,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,7.70,112,29%,5.80,13%,238,Medium,1889,55.7,46%,36.2,55%
Fever,Friday,$99.00,PBEFFECT,https://a8qh.short.gy/Fever,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,7.75,113,35%,5.66,10%,241,Very High,2035,56.3,72%,36.1,50%
Fever 2,Friday,$99.00,PBEFFECT,https://a8qh.short.gy/Fever102,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.25,8.03,112,29%,6.95,86%,238,Very High,2015,55.9,56%,35.6,30%
Original,Friday,$69.00,PBEFFECT,https://a8qh.short.gy/Friday,2024,USAP,Hybrid,Carbon,Paint Grit,Gen 2,All-Court,16,5.50,4.25,8.20,118,70%,6.29,45%,239,Medium,1926,56.3,72%,35.3,19%
RCF-Airbender 16,Gamma,$199.99,PBEFFECT,https://a8qh.short.gy/Bender,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.30,4.13,8.45,118,70%,5.80,13%,,Medium,1896,54.9,24%,34.9,13%
RCF-Obsidian 10,Gamma,$159.99,PBEFFECT,https://a8qh.short.gy/O10,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,10,5.75,4.13,7.90,116,56%,5.87,17%,243,Low,1813,55.0,28%,36.1,50%
RCF-Obsidian 13,Gamma,$159.99,PBEFFECT,https://a8qh.short.gy/O13,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,13,5.75,4.13,8.03,116,56%,6.18,37%,240,Medium,1893,54.4,18%,34.8,9%
RCF-Obsidian 16,Gamma,$159.99,PBEFFECT,https://a8qh.short.gy/O16,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.75,4.13,8.13,120,82%,6.53,61%,244,Medium,1897,55.2,32%,34.6,6%
CX14H Ultimate Power,Gearbox,$249.99,N/A,https://a8qh.short.gy/CX14U,2023,USAP,Widebody,Carbon,Paint Grit,Gen 1/Edgeless,All-Court,14,5.50,4.00,8.50,96,0%,5.31,2%,203,,,,,,
GX2 Elongated,Gearbox,$269.99,PBEFFECT,https://a8qh.short.gy/GX2E,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,No Gen,All-Court,16,5.50,4.13,7.94,120,82%,5.65,9%,250,Very High,2047,56.0,61%,36.1,50%
GX2 Hyper,Gearbox,$269.99,PBEFFECT,https://a8qh.short.gy/GX2H,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,No Gen,All-Court,16,5.50,4.13,8.00,109,13%,6.51,60%,240,Very High,2009,55.4,37%,36.1,50%
GX2 Integra XL,Gearbox,$269.99,PBEFFECT,https://a8qh.short.gy/GX2I,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,No Gen,All-Court,16,5.50,4.13,7.91,118,70%,5.69,10%,248,Very High,2025,55.9,56%,35.9,39%
GX2 Power Elongated,Gearbox,$279.99,PBEFFECT,https://a8qh.short.gy/GX2PE,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,No Gen,Power,16,5.50,4.13,8.00,118,70%,6.22,40%,246,Very High,2021,56.9,92%,36.5,71%
GX2 Power Hybrid,Gearbox,$279.99,PBEFFECT,https://a8qh.short.gy/GX2PH,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,No Gen,Power,16,5.50,4.13,7.90,113,35%,6.66,70%,242,Very High,2049,56.8,88%,36.6,75%
Pro Control Elongated,Gearbox,$274.99,N/A,https://a8qh.short.gy/PCE,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,All-Court,14,5.50,4.00,8.07,123,92%,5.01,0%,247,Medium,1914,54.1,14%,34.2,4%
Pro Control Integra,Gearbox,$274.99,N/A,https://a8qh.short.gy/PCF,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,All-Court,14,5.50,4.00,7.95,116,56%,5.12,1%,246,High,1954,53.9,12%,34.8,9%
Pro Power Elongated,Gearbox,$274.99,N/A,https://a8qh.short.gy/PPE,2023,Unapproved,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,14,5.50,4.00,7.88,121,85%,5.16,1%,248,High,1986,57.4,97%,36.9,86%
Pro Power Integra,Gearbox,$274.99,N/A,https://a8qh.short.gy/PPF,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,14,5.50,4.00,7.98,114,43%,4.96,0%,241,High,1951,56.1,65%,36.1,50%
Pro Ultimate Elongated 14,Gearbox,$274.99,N/A,https://a8qh.short.gy/gpu14,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,14,5.50,4.00,8.05,125,96%,5.34,3%,255,High,1993,56.8,88%,36.0,44%
Pro Ultimate Elongated 16,Gearbox,$274.99,N/A,https://a8qh.short.gy/GPU,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,16,5.50,4.00,8.00,124,94%,5.38,3%,256,High,1987,56.8,88%,35.9,39%
Pro Ultimate Hyper,Gearbox,$274.99,N/A,https://a8qh.short.gy/PUH,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,16,5.25,4.00,8.00,115,49%,6.36,51%,248,High,1986,56.1,65%,36.6,75%
Nightshade E,Gherkin,$135.00,PBEFFECT,https://a8qh.short.gy/nse,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.50,4.13,7.90,116,56%,6.01,27%,242,,,,,,
Nightshade H,Gherkin,$135.00,PBEFFECT,https://a8qh.short.gy/nsh,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.50,4.13,7.98,113,35%,6.15,35%,238,Very High,2007,54.6,21%,36.2,55%
Wraith E,Gherkin,$135.00,PBEFFECT,https://a8qh.short.gy/wraithE,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.25,8.00,116,56%,5.96,24%,241,Very High,2061,56.7,87%,36.2,55%
Wraith H ,Gherkin,$135.00,PBEFFECT,https://a8qh.short.gy/wraithH,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.25,8.00,111,23%,6.10,30%,236,Very High,2035,56.7,87%,36.4,66%
Wraith S,Gherkin,$135.00,PBEFFECT,https://a8qh.short.gy/wraithS,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.25,7.96,107,7%,6.50,59%,232,Very High,2043,56.6,84%,36.5,71%
LAZR-16D Solid Foam,Gruvn,$179.00,PBEFFECT,https://a8qh.short.gy/GLF,2025,USAP,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.13,8.30,118,70%,6.81,80%,240,Very High,2059,57.1,95%,37.0,90%
LAZR-16S,Gruvn,$169.99,PBEFFECT,https://a8qh.short.gy/L16S,2024,USAP,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.40,4.13,8.00,108,10%,7.13,92%,234,,,,,,
LAZR-16X,Gruvn,$169.99,PBEFFECT,https://a8qh.short.gy/L16X,2024,USAP,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,8.00,118,70%,6.41,55%,241,,,,,,
MUVN-13S,Gruvn,$159.00,PBEFFECT,https://a8qh.short.gy/M13S,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,13,5.50,4.13,7.90,100,0%,6.40,53%,224,,,,,,
Boom Tour EX,Head,$200.00,N/A,https://a8qh.short.gy/BoomT,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,11,5.50,4.13,7.84,116,56%,5.46,4%,244,Very High,2074,56.5,80%,38.2,100%
Radical Nite,Head,$219.00,N/A,https://a8qh.short.gy/Nite,2024,USAP,Elongated,Carbon,Paint Grit,Gen 2,Control,15,5.50,4.13,8.11,115,49%,5.91,21%,236,,,,,,
Tour Radical Raw EX,Head,$169.95,N/A,https://a8qh.short.gy/EXRaw,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,15,5.50,4.13,8.17,115,49%,5.56,6%,236,,,,,,
Aero Metallic TI (16mm),Holbrook,$219.99,PBEFFECT,https://a8qh.short.gy/PAM ,2024,USAP,Elongated,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,7.95,117,63%,5.85,17%,240,High,1982,55.3,36%,35.5,25%
Aero S (16mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AS16 ,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.00,4.25,7.80,105,4%,6.63,69%,232,,,,,,
Aero T (14mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AT14 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.50,4.25,7.80,115,49%,5.70,10%,241,High,1968,55.7,46%,36.3,61%
Aero T (16mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AT16 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,7.81,113,35%,5.69,10%,238,Very High,2016,55.9,56%,36.2,55%
Aero X (14mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AX14 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.25,4.25,7.80,112,29%,5.83,16%,239,High,1974,55.2,32%,36.2,55%
Aero X (16mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AX16 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,4.25,7.82,113,35%,5.82,15%,238,High,1974,55.8,52%,36.1,50%
Arma S,Holbrook,$279.99,PBEFFECT,https://a8qh.short.gy/AS,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,,4.25,8.10,112,29%,7.11,91%,236,,,,,,
Arma T,Holbrook,$279.99,PBEFFECT,https://a8qh.short.gy/AT,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.25,8.00,117,63%,6.23,41%,242,,,,,,
Arma X,Holbrook,$279.99,PBEFFECT,https://a8qh.short.gy/AX,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,,4.25,8.20,118,70%,6.38,52%,240,,,,,,
Mav Pro,Holbrook,$219.99,PBEFFECT,https://a8qh.short.gy/MP,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,13,5.50,4.25,8.17,123,92%,6.10,30%,245,,,,,,
Power Pro,Holbrook,$219.99,PBEFFECT,https://a8qh.short.gy/HP,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,8.03,121,85%,6.39,52%,241,,,,,,
Pro Power E,Holbrook,$219.99,PBEFFECT,https://a8qh.short.gy/HPE,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,4.25,8.25,122,88%,6.68,72%,241,,,,,,
J2FC+,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/NFC+,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.30,4.13,8.00,111,23%,6.70,74%,235,,,,,,
J2FC+,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/NFC+,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.30,4.13,8.00,111,23%,6.70,74%,235,Very High,2002,56.3,72%,36.5,71%
J2NF,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/J2NFC,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.30,4.13,7.95,110,18%,6.67,71%,236,Very High,2054,56.1,65%,36.2,55%
J2NF LH,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/NFLH,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,6.00,4.13,8.00,109,13%,6.60,66%,235,Very High,2060,56.2,69%,36.3,61%
J2NFK,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/J2NFK,2025,USAP,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 4,Power,16,5.30,4.13,8.10,112,29%,6.81,80%,236,Very High,2041,56.4,77%,36.3,61%
J2NFT,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/J2NFT,2025,USAP,Hybrid,Titanium/Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.30,4.13,8.30,114,43%,6.89,84%,236,Very High,2084,56.3,72%,36.0,44%
J3NF,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/J3NF,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,6.00,4.13,7.98,110,18%,6.70,74%,235,Very High,2073,56.3,72%,36.5,71%
J6FC+,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/j6fc,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,6.00,4.25,8.13,118,70%,6.60,66%,239,,,,,,
J6NF,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/J6NF,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,6.00,4.25,8.10,118,70%,6.57,64%,240,,,,,,
J7NF,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/J7NF,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,6.00,4.13,8.00,116,56%,5.91,21%,239,,,,,,
Sword & Shield J2,Honolulu Pickleball,$145.00,PBEFFECT,https://a8qh.short.gy/J2,2024,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.13,7.95,110,18%,6.81,80%,236,,,,,,
Sword & Shield J2K,Honolulu Pickleball,$155.00,PBEFFECT,https://a8qh.short.gy/J2K,2024,USAP,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,8.22,115,49%,7.10,90%,237,High,1948,55.1,31%,36.4,66%
Sword & Shield J2K+,Honolulu Pickleball,$165.00,PBEFFECT,https://a8qh.short.gy/J2K+,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.13,8.26,115,49%,7.10,90%,238,High,1983,55.0,28%,36.0,44%
Sword & Shield J2Ti,Honolulu Pickleball,$155.00,PBEFFECT,https://a8qh.short.gy/J2Ti,2024,USAP,Hybrid,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.13,8.05,111,23%,6.60,66%,235,,,,,,
Sword & Shield J2Ti+,Honolulu Pickleball,$165.00,PBEFFECT,https://a8qh.short.gy/J2Ti+,2025,USAP,Hybrid,Titanium/Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.13,8.30,116,56%,7.16,92%,239,,,,,,
Sword & Shield J3k,Honolulu Pickleball,$155.00,PBEFFECT,https://a8qh.short.gy/J3K,2024,USAP,Widebody,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,6.00,4.13,8.28,117,63%,7.22,93%,239,,,,,,
Sword & Shield J7K,Honolulu Pickleball,$155.00,PBEFFECT,https://a8qh.short.gy/J7K,2024,USAP,Extra-elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Power,16,6.00,4.13,8.25,123,92%,6.36,51%,242,,,,,,
Mage Pro,Hudef,$99.00,PBEFFECT,https://a8qh.short.gy/Mage,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.35,4.00,7.77,113,35%,6.13,34%,241,,,,,,
Viva Pro Gen 2,Hudef,$129.99,PBEFFECT,https://a8qh.short.gy/VGEN2,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,8.06,125,96%,6.43,55%,251,Medium,1854,55.5,40%,35.4,22%
Viva Pro Gen 3,Hudef,$169.99,PBEFFECT,https://a8qh.short.gy/G3,2024,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,7.76,119,77%,6.16,36%,250,,,,,,
Agassi Edge (16mm),JOOLA,$99.95,N/A,https://a8qh.short.gy/AE16,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.50,4.25,7.80,109,13%,5.47,5%,236,,,,,,
Agassi Pro (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/AP14,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,8.10,116,56%,6.02,27%,240,Very High,2026,56.4,77%,36.8,84%
Agassi Pro (16mm),JOOLA,$279.95,N/A,,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.17,117,63%,6.14,34%,238,Very High,2014,,,,
Hyperion 3S (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/3SH14,2024,UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,7.85,115,49%,6.01,27%,245,High,1967,55.9,56%,36.2,55%
Hyperion 3S (16mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/3SH16,2024,UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,7.90,115,49%,6.12,33%,244,High,1989,57.2,96%,36.9,86%
Magnus 3S (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/3SM14,2024,UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.00,4.13,7.90,113,35%,6.13,34%,240,,,,,,
Magnus 3S (16mm),JOOLA,$275.00,N/A,https://a8qh.short.gy/Mag14,2024,UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.14,118,70%,6.45,56%,242,High,1949,,,,
Mod TA-15 (16mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/Mod16,2024,Unapproved,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,7.84,116,56%,6.10,30%,244,Very High,2014,57.8,99%,37.2,95%
Mod-TA-15 (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/mod14,2024,Unapproved,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,7.56,112,29%,5.77,12%,243,Very High,2044,58.4,100%,37.9,99%
Perseus (14 mm),JOOLA,$249.99,N/A,https://a8qh.short.gy/P14,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,4.13,7.93,121,85%,5.77,12%,247,,,,,,
Perseus (16 mm),JOOLA,$249.99,N/A,https://a8qh.short.gy/P16,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.25,7.85,117,63%,5.87,17%,244,Low,1818,52.8,2%,34.8,9%
Perseus 3S (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/3SP14,2024,UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,7.90,117,63%,6.00,25%,244,,,56.4,77%,37.0,90%
Perseus Pro IV (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/PP14,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,7.95,116,56%,6.08,30%,241,High,1964,56.1,65%,37.1,92%
Perseus Pro IV (16mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/PP416,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.20,118,70%,6.29,45%,242,High,1971,56.5,80%,36.9,86%
Scorpeus (14 mm),JOOLA,$249.99,N/A,https://a8qh.short.gy/S14,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.25,4.13,7.65,108,10%,6.45,56%,238,Medium,1856,52.8,2%,35.6,30%
Scorpeus (16 mm),JOOLA,$249.99,N/A,https://a8qh.short.gy/S16,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.25,4.25,8.02,113,35%,6.86,83%,238,Low,1845,52.6,2%,34.6,6%
Scorpeus 3S (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/3SS14,2024,UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,7.85,111,23%,6.78,78%,240,Very High,2068,56.0,61%,36.5,71%
Scorpeus 3S (16mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/S3S16,2024,UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.12,116,56%,7.23,94%,241,Very High,2011,56.2,69%,37.2,95%
Scorpeus Pro IV (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/S414,2025,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,8.16,111,23%,7.04,88%,237,Very High,2002,56.7,87%,36.4,66%
Scorpeus Pro IV (16 mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/S416,2025,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.16,111,23%,7.09,89%,236,Very High,2027,56.6,84%,36.7,83%
Hyperion 3S (16mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/H3S16,2024,UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,7.89,115,49%,6.10,30%,243,Very High,2010,56.6,84%,36.6,75%
Perseus 3S (16mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/P3S16,2024,UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.00,121,85%,6.27,44%,245,High,1983,56.4,77%,36.7,83%
Pro Cannon,Luzz,$109.00,PBEFFECT,https://a8qh.short.gy/cannon,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,7.90,119,77%,6.21,39%,244,Very High,2076,56.8,88%,36.6,75%
Pro-4 Inferno,Luzz,$229.00,PBEFFECT,https://a8qh.short.gy/inferno,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.25,7.88,119,77%,6.17,37%,244,Very High,2027,57.1,95%,37.1,92%
Tornazo,Luzz,$229.00,PBEFFECT,https://a8qh.short.gy/tornazo,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.25,7.90,118,70%,6.05,29%,245,Very High,2111,56.9,92%,36.9,86%
One,Mark,$159.99,PBEFFECT,https://a8qh.short.gy/One,2024,USAP,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,4.13,8.18,119,77%,6.57,64%,242,,,,,,
OneX,Mark,$159.99,PBEFFECT,https://a8qh.short.gy/OneX,2024,USAP,Hybrid,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.75,4.13,7.94,117,63%,6.46,57%,244,,,,,,
Two,Mark,$159.99,PBEFFECT,https://a8qh.short.gy/M2,2024,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,4.13,8.24,123,92%,6.66,70%,245,,,,,,
