Company,Paddle,Core Thickness (mm),Condition,Price,Shape,Manufacturing Process,Surface Texture,Surface Material,Core Material,Spin RPM,Spin Percentile,Length (in),Width (in),Handle Length (in),Static Weight (oz),Swing Weight,Swing Weight Percentile,Twist Weight,Twist Weight Percentile,Balance Point (cm),Balance Point Percentile,Serve Speed-MPH (Power),Power Percentile,Punch Volley Speed-MPH (Pop),Pop Percentile,Surface Hardness (Shore D)
Joola,Hyperion CFS Swift,16,New,$219.95,Elongated,Hybrid,Peel Ply-Coarse,Carbon Fiber,Polypropylene Honeycomb,"1,420",10%,16.5,7.5,5.50,7.9,,,,,,,,,,,
Joola,Scorpeus Collin Johns,16,New,$249.95,Standard,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Polypropylene Honeycomb,"1,889",41%,16.0,8.0,5.25,8.1,114,44%,6.95,90%,23.9,49%,52.2,10%,34.1,34%,92.0
Joola,Solaire,14,New,$189.95,Standard,Hybrid,Peel Ply-Coarse,Carbon Fiber,Polypropylene Honeycomb,"1,917",46%,16.0,8.0,5.50,8.4,,,,,,,,,,,
Joola,Solaire,14,Used-1 month,$189.95,Standard,Hybrid,Peel Ply-Coarse,Carbon Fiber,Polypropylene Honeycomb,"1,774",23%,16.0,8.0,5.50,8.4,,,,,,,,,,,
Komodo,Katana,16,New,$227.97,Elongated,Cold Layered,Peel Ply-Coarse,Kevlar 3K Cloth,Polypropylene Honeycomb,"2,032",59%,16.5,7.5,5.25,7.5,106,20%,5.75,23%,23.8,41%,53.9,41%,33.4,14%,93.2
Legacy,Legacy Pro,16,New,$150.00,Elongated,Thermoformed,Peel Ply-Fine,Toray Carbon Fiber,Polypropylene Honeycomb,"1,913",44%,16.5,7.5,5.30,8.0,121,76%,6.43,62%,,,,,,,
Monarch,Mercenary Graphite 2,10.3,Used-3 months,$79.99,Standard,Cold Layered,Grit,Graphite,Polypropylene Honeycomb,"1,099",3%,15.5,8.2,4.50,7.8,108,26%,,,,,,,,,
Neonic,Flow,16,New,$119.99,Hybrid,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,310",96%,16.3,7.6,5.50,8.1,116,57%,6.53,67%,23.9,49%,54.9,64%,34.6,55%,93.5
PCKL,Pro 13,13,New,$159.99,Hybrid,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,834",30%,16.3,7.5,5.50,8.1,120,72%,5.91,30%,23.2,19%,51.3,3%,32.3,6%,88.7
PCKL,Pro 16,16,New,$159.99,Hybrid,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,853",34%,16.3,7.5,5.50,7.8,121,76%,6.56,69%,23.8,41%,52.8,21%,32.1,5%,89.8
Pickleball Apes,Pro Line Energy,16.5,New,$149.99,Elongated,Thermoformed,Peel Ply-Coarse,Kevlar & Carbon Fiber,Polypropylene Narrow-Cell Honeycomb,"2,081",67%,17.0,7.0,6.25,8.3,122,80%,5.70,16%,24.7,91%,55.3,77%,34.9,67%,88.2
Pickleball Apes,Pro Line Energy S,16.5,New,$169.99,Elongated,Thermoformed,Peel Ply-Coarse,Kevlar & Carbon Fiber,Polypropylene Narrow-Cell Honeycomb,"2,192",83%,16.4,7.6,5.50,8.1,118,63%,6.34,55%,24.2,66%,55.9,90%,35.6,87%,91.0
ProDrive,Drive Carbon,19,New,$199.00,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene + Kevlar,"1,870",38%,16.4,7.6,5.30,8.6,130,98%,7.24,96%,24.5,81%,55.6,83%,33.4,14%,89.3
ProDrive,Encounter,16,New,$219.00,Elongated,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene + Kevlar,"2,020",57%,16.5,7.3,5.50,8.2,119,70%,5.49,10%,24.1,61%,56.7,94%,34.5,52%,91.7
ProDrive,Ghost,16,New,$189.00,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Kevlar,"1,817",28%,16.4,7.6,5.30,8.0,117,58%,6.73,76%,23.9,49%,55.6,83%,35.1,78%,90.5
