Company,Paddle,Core Thickness (mm),Condition,Price,Shape,Manufacturing Process,Surface Texture,Surface Material,Core Material,Spin RPM,Spin Percentile,Length (in),Width (in),Handle Length (in),Static Weight (oz),Swing Weight,Swing Weight Percentile,Twist Weight,Twist Weight Percentile,Balance Point (cm),Balance Point Percentile,Serve Speed-MPH (Power),Power Percentile,Punch Volley Speed-MPH (Pop),Pop Percentile,Surface Hardness (Shore D)
Chorus,Shapeshifter,16,New,$189.99,Hybrid,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,139",74%,16.3,7.5,5.30,8.2,118,65%,6.73,76%,24.0,55%,55.1,71%,34.5,52%,92.2
Chorus,Shapeshifter-prototype,16,New,$189.99,Hybrid,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,139",74%,16.3,7.5,5.30,7.8,114,48%,6.14,42%,24.1,61%,55.1,71%,34.6,55%,93.7
Core,Reaction Pro Elongated,16,New,$124.99,Elongated,Cold Layered,Peel Ply-Fine,T700 Carbon Fiber,Polypropylene Honeycomb,"1,863",36%,16.5,7.4,5.80,8.2,125,92%,6.03,37%,24.8,93%,54.4,51%,33.9,29%,
Core,Reaction Pro Standard,16,New,$124.99,Standard,Cold Layered,Peel Ply-Fine,T700 Carbon Fiber,Polypropylene Honeycomb,"1,892",41%,15.8,8.0,5.13,8.2,112,35%,7.25,97%,23.8,41%,53.5,35%,34.0,32%,93.8
CRBN,CRBN 1X,14,New,$229.99,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,244",90%,16.5,7.3,5.50,8.0,116,54%,5.78,27%,24.2,66%,54.7,58%,34.4,47%,89.5
CRBN,CRBN 2X,16,New,$229.99,Standard,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,975",50%,15.8,8.0,4.75,8.0,110,28%,7.50,100%,23.5,29%,53.5,35%,34.4,47%,88.3
CRBN 1,CRBN1 Control,14,New,$179.99,Elongated,Cold Layered,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,171",79%,16.5,7.3,5.50,7.9,,,,,,,,,,,
CRBN 1,CRBN1 Control (USAP-Banned 2021),14,New,$179.99,Elongated,Cold Layered,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"1,943",48%,16.5,7.3,5.50,7.9,,,,,,,,,,,
Diadem,Edge 18K,16,New,$229.95,Elongated,Cold Layered,Peel Ply-Coarse,18k Carbon Fiber,Polypropylene Honeycomb,"2,304",94%,16.4,7.5,5.30,7.9,122,80%,6.25,52%,24.1,61%,53.0,28%,34.1,34%,89.0
Diadem,Icon V2 XL,13.7,New,$199.95,Standard,Hot Molded,Grit,Carbon Fiber (Japanese-Sourced),Polypropylene Honeycomb (2 sheets),"1,718",19%,16.0,7.6,5.25,8.2,125,90%,5.69,15%,24.5,81%,54.2,48%,35.0,72%,85.8
Diadem,Vice,16,New,$224.95,Elongated,Unibody Edgeless,Grit,Carbon Fiber,EVA Foam,"1,789",25%,16.4,7.4,5.30,7.9,114,44%,5.73,22%,,,59.0,98%,33.8,26%,78.0
Diadem,Warrior,19,New,$229.95,Elongated,Cold Layered,Grit,Carbon Fiber,Polypropylene + Aramid,"1,744",22%,16.4,7.4,5.30,8.6,133,100%,7.25,97%,24.7,91%,52.6,15%,31.0,1%,86.5
Electrum,Model E,16,Used-6 months,$119.99,Elongated,Cold Layered,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,575",16%,16.5,7.4,5.25,8.2,122,80%,6.80,80%,,,,,,,
Electrum,Model E Elite,16,New,$199.99,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,028",58%,16.5,7.4,5.25,8.4,124,88%,7.14,94%,24.7,91%,55.7,87%,35.7,90%,87.7
Electrum,Model E Stealth,16,New,$220.00,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,810",27%,16.5,7.3,5.38,7.7,107,21%,5.00,2%,23.30,23%,55.6,83%,35.6,87%,92.7
Electrum,Model E Stealth-with 0.5 oz. lead tape,16,New,$220.00,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,810",27%,16.5,7.3,5.38,8.2,109,27%,6.10,40%,23.20,19%,55.0,68%,35.0,72%,92.7
Electrum,Pro II,11,Used-1 month,$149.99,Standard,Hot Molded,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,089",68%,16.0,8.0,5.25,7.6,106,14%,6.75,77%,23.7,34%,51.0,1%,34.3,44%,89.8
Electrum,Pro II Stealth,12,New,$220.00,Standard,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,204",85%,16.0,7.8,5.25,7.0,93,1%,4.83,2%,23.10,16%,53.1,28%,36.4,96%,93.8
Electrum,Pro II Stealth-with 0.5 oz. lead tape,12,New,$220.00,Standard,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,204",85%,16.0,7.8,5.25,7.5,97,3%,6.35,56%,22.80,13%,55.0,68%,36.0,94%,93.8
Electrum,Pro Stealth,12,New,$220.00,Wide Body,Unibody Edgeless,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,927",46%,15.6,8.3,5.00,7.3,92,0%,5.63,14%,22.5,3%,52.6,15%,36.1,95%,93.2
Electrum,Pro Stealth-with 0.5 oz. lead tape,12,New,$220.00,Wide Body,Unibody Edgeless,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,927",46%,15.6,8.3,5.00,7.3,93,1%,6.90,87%,22.3,3%,55.0,68%,35.7,90%,93.2
Franklin,Ben Johns Signature,13,Used-2 months,$100.00,Elongated,Cold Layered,Grit,Fiberglass,Polypropylene Honeycomb,"1,267",8%,16.5,7.3,5.50,8.1,120,72%,,,,,,,,,86.7
Franklin ,Carbon STK,14.5,New,$149.99,Elongated,Cold Layered,Unknown,Carbon Fiber,Polypropylene Honeycomb,"1,251",8%,16.5,7.5,4.25,7.6,118,63%,5.76,25%,24.6,89%,51.7,7%,30.9,0%,89.7
Gamma,Airbender,16,New,$199.99,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,903",43%,16.5,7.4,5.38,8.5,115,54%,5.57,13%,23.3,23%,55.9,90%,34.1,34%,94.0
Gamma,Obsidian 10,10,New,$159.99,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,992",53%,16.4,7.6,5.75,8.0,118,66%,5.77,26%,24.4,76%,54.7,58%,35.5,86%,94.8
Gamma,Obsidian 13,13,New,$159.99,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,854",34%,16.4,7.6,5.75,7.9,112,39%,6.00,35%,23.8,41%,55.1,71%,35.2,82%,93.5
Gamma,Obsidian 16,16,New,$159.99,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,877",39%,16.4,7.6,5.75,8.1,120,71%,6.46,63%,24.5,81%,55.8,88%,34.4,47%,93.5
Gearbox,CX11E Power,14,Used-3 months,$199.99,Elongated,Unibody Edgeless,Grit,3K Woven Carbon Fiber,Toray T700 Carbon Fiber,"1,480",12%,16.6,8.0,5.38,7.8,98,5%,4.69,1%,,,47.8,0%,31.5,3%,
Gearbox,CX14E,14,Used-1 month,$199.99,Elongated,Unibody Edgeless,Grit,3K Woven Carbon Fiber,Toray T700 Carbon Fiber,"1,523",13%,16.6,7.4,5.38,8.0,101,7%,4.32,0%,,,,,,,
Gearbox,CX14H Ultimate Power,14,New,$249.99,Standard,Unibody Edgeless,Grit,3K Woven Carbon Fiber,Toray T700 Carbon Fiber,"1,962",48%,15.6,8.0,5.38,8.5,107,21%,5.78,27%,22.0,2%,51.1,2%,33.1,10%,88.7
Gearbox,G2 Elongated,14,New,$119.99,Elongated,Unibody Edgeless,Grit,Carbon Fiber; Fiberglass,Polypropylene Honeycomb,"2,030",59%,16.5,7.4,5.50,7.9,123,87%,5.35,9%,25.4,100%,54.4,51%,32.7,9%,89.8
Gearbox,G2 Integra,14,New,$139.99,Hybrid,Unibody Edgeless,Grit,Carbon Fiber; Fiberglass,Polypropylene Honeycomb,"2,113",72%,16.0,7.4,5.50,7.9,113,41%,5.64,15%,24.5,81%,54.2,48%,32.6,8%,87.7
Gearbox,G2 Quad,14,New,$99.99,Standard,Unibody Edgeless,Grit,Carbon Fiber; Fiberglass,Polypropylene Honeycomb,"2,139",74%,15.9,8.0,4.75,7.9,108,25%,6.23,51%,23.7,34%,53.3,32%,33.4,14%,90.3
Gearbox,Pro Control Elongated,14,New,$274.99,Elongated,Hot Molded,Peel Ply-Coarse,Toray Carbon Fiber,Toray Carbon Fiber,"2,130",74%,16.5,7.4,5.5,8.1,122,80%,5.07,3%,25.0,97%,56.0,92%,35.1,78%,91.2
Gearbox,Pro Control Fusion,14,New,$274.99,Hybrid,Hot Molded,Peel Ply-Coarse,Toray Carbon Fiber,Toray Carbon Fiber,"2,091",68%,16.0,7.4,5.5,8.0,115,49%,5.14,4%,24.5,81%,55.8,88%,35.4,85%,90.0
Gearbox,Pro Power Elongated,14,New,$274.99,Elongated,Hot Molded,Peel Ply-Coarse,Toray Carbon Fiber,Toray Carbon Fiber,"2,062",62%,16.5,7.4,5.5,8.0,120,72%,5.22,6%,24.9,96%,57.7,96%,36.6,97%,90.5
Gearbox,Pro Power Fusion,14,New,$274.99,Hybrid,Hot Molded,Peel Ply-Coarse,Toray Carbon Fiber,Toray Carbon Fiber,"2,113",72%,16.0,7.4,5.5,8.0,112,36%,5.14,4%,24.2,66%,57.9,97%,36.8,98%,90.3
Gentle Booms Sports,GBS-001,11,New,$49.99,Standard,Welded,Grit,Aluminum,Aluminum Honeycomb,"1,493",12%,15.7,7.8,5.00,8.5,115,49%,6.65,72%,23.1,16%,51.9,8%,31.7,3%,94.2
GRÜVN,MÜVN-13S,13,New,$179.00,Wide Body,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"1,846",31%,15.7,8.1,5.30,7.9,101,7%,6.35,56%,22.5,3%,54.8,63%,36.4,96%,93.8
GRÜVN,MÜVN-13X,13,New,$179.00,Elongated,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"1,975",50%,16.5,7.4,5.50,7.8,114,44%,5.93,31%,23.9,49%,55.4,79%,34.9,67%,92.7
GRÜVN,MÜVN-16E,16,New,$179.00,Elongated,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"1,862",35%,16.5,7.4,4.75,8.3,118,63%,6.35,56%,23.8,41%,55.0,68%,34.9,67%,93.5
GRÜVN,MÜVN-16H,16,New,$179.00,Elongated,Thermoformed,Peel Ply-Fine,T700 Carbon Fiber,Polypropylene Honeycomb,"1,821",30%,16.5,7.4,5.88,8.2,122,80%,6.15,43%,24.2,66%,55.6,83%,35.7,90%,93.7
GRÜVN,MÜVN-16S,16,New,$179.00,Wide Body,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,002",54%,15.7,8.1,5.30,8.0,104,10%,6.80,80%,22.7,8%,54.3,49%,35.0,72%,92.8
GRÜVN,MÜVN-16X,16,New,$179.00,Elongated,Thermoformed,Peel Ply-Fine,T700 Carbon Fiber,Polypropylene Honeycomb,"2,013",56%,16.5,7.4,5.50,8.2,117,57%,6.30,53%,23.7,34%,54.3,49%,34.2,41%,92.5
